year,week,team,temperature
2013,Week 1,Ravens,81
2013,Week 1,Broncos,81
2013,Week 1,Patriots,65
2013,Week 1,Bills,65
2013,Week 1,Bengals,77
2013,Week 1,Bears,77
2013,Week 1,Dolphins,72
2013,Week 1,Browns,72
2013,Week 1,Falcons,90
2013,Week 1,Saints,90
2013,Week 1,Buccaneers,82
2013,Week 1,Jets,82
2013,Week 1,Titans,74
2013,Week 1,Steelers,74
2013,Week 1,Vikings,72
2013,Week 1,Lions,72
2013,Week 1,Raiders,86
2013,Week 1,Colts,86
2013,Week 1,Seahawks,87
2013,Week 1,Panthers,87
2013,Week 1,Chiefs,87
2013,Week 1,Jaguars,87
2013,Week 1,Cardinals,83
2013,Week 1,Rams,83
2013,Week 1,Packers,66
2013,Week 1,49ers,66
2013,Week 1,Giants,86
2013,Week 1,Cowboys,86
2013,Week 1,Eagles,72
2013,Week 1,Washington,72
2013,Week 1,Texans,66
2013,Week 1,Chargers,66
2013,Week 2,Jets,72
2013,Week 2,Patriots,72
2013,Week 2,Rams,81
2013,Week 2,Falcons,81
2013,Week 2,Panthers,66
2013,Week 2,Bills,66
2013,Week 2,Vikings,62
2013,Week 2,Bears,62
2013,Week 2,Washington,62
2013,Week 2,Packers,62
2013,Week 2,Dolphins,76
2013,Week 2,Colts,76
2013,Week 2,Cowboys,79
2013,Week 2,Chiefs,79
2013,Week 2,Browns,78
2013,Week 2,Ravens,78
2013,Week 2,Titans,91
2013,Week 2,Texans,91
2013,Week 2,Chargers,72
2013,Week 2,Eagles,72
2013,Week 2,Lions,102
2013,Week 2,Cardinals,102
2013,Week 2,Saints,75
2013,Week 2,Buccaneers,75
2013,Week 2,Jaguars,72
2013,Week 2,Raiders,72
2013,Week 2,Broncos,67
2013,Week 2,Giants,67
2013,Week 2,49ers,64
2013,Week 2,Seahawks,64
2013,Week 2,Steelers,58
2013,Week 2,Bengals,58
2013,Week 3,Chiefs,64
2013,Week 3,Eagles,64
2013,Week 3,Packers,67
2013,Week 3,Bengals,67
2013,Week 3,Rams,79
2013,Week 3,Cowboys,79
2013,Week 3,Chargers,76
2013,Week 3,Titans,76
2013,Week 3,Browns,70
2013,Week 3,Vikings,70
2013,Week 3,Buccaneers,72
2013,Week 3,Patriots,72
2013,Week 3,Cardinals,79
2013,Week 3,Saints,79
2013,Week 3,Lions,71
2013,Week 3,Washington,71
2013,Week 3,Giants,77
2013,Week 3,Panthers,77
2013,Week 3,Texans,72
2013,Week 3,Ravens,72
2013,Week 3,Falcons,85
2013,Week 3,Dolphins,85
2013,Week 3,Bills,64
2013,Week 3,Jets,64
2013,Week 3,Colts,64
2013,Week 3,49ers,64
2013,Week 3,Jaguars,61
2013,Week 3,Seahawks,61
2013,Week 3,Bears,52
2013,Week 3,Steelers,52
2013,Week 3,Raiders,57
2013,Week 3,Broncos,57
2013,Week 4,49ers,71
2013,Week 4,Rams,71
2013,Week 4,Ravens,74
2013,Week 4,Bills,74
2013,Week 4,Bengals,0
2013,Week 4,Browns,0
2013,Week 4,Bears,64
2013,Week 4,Lions,64
2013,Week 4,Giants,73
2013,Week 4,Chiefs,73
2013,Week 4,Steelers,60
2013,Week 4,Vikings,60
2013,Week 4,Cardinals,84
2013,Week 4,Buccaneers,84
2013,Week 4,Colts,80
2013,Week 4,Jaguars,80
2013,Week 4,Seahawks,82
2013,Week 4,Texans,82
2013,Week 4,Jets,68
2013,Week 4,Titans,68
2013,Week 4,Eagles,73
2013,Week 4,Broncos,73
2013,Week 4,Cowboys,80
2013,Week 4,Chargers,80
2013,Week 4,Washington,72
2013,Week 4,Raiders,72
2013,Week 4,Patriots,61
2013,Week 4,Falcons,61
2013,Week 4,Dolphins,76
2013,Week 4,Saints,76
2013,Week 5,Bills,63
2013,Week 5,Browns,63
2013,Week 5,Saints,61
2013,Week 5,Bears,61
2013,Week 5,Patriots,74
2013,Week 5,Bengals,74
2013,Week 5,Jaguars,57
2013,Week 5,Rams,57
2013,Week 5,Ravens,87
2013,Week 5,Dolphins,87
2013,Week 5,Eagles,69
2013,Week 5,Giants,69
2013,Week 5,Lions,61
2013,Week 5,Packers,61
2013,Week 5,Chiefs,63
2013,Week 5,Titans,63
2013,Week 5,Seahawks,56
2013,Week 5,Colts,56
2013,Week 5,Panthers,90
2013,Week 5,Cardinals,90
2013,Week 5,Broncos,75
2013,Week 5,Cowboys,75
2013,Week 5,Texans,73
2013,Week 5,49ers,73
2013,Week 5,Chargers,63
2013,Week 5,Raiders,63
2013,Week 5,Jets,59
2013,Week 5,Falcons,59
2013,Week 6,Giants,63
2013,Week 6,Bears,63
2013,Week 6,Bengals,68
2013,Week 6,Bills,68
2013,Week 6,Lions,67
2013,Week 6,Browns,67
2013,Week 6,Raiders,70
2013,Week 6,Chiefs,70
2013,Week 6,Panthers,58
2013,Week 6,Vikings,58
2013,Week 6,Eagles,84
2013,Week 6,Buccaneers,84
